word,frequency
-,1
ASSHOLE,1
Aaahhhhhh,1
Ahem,1
All,1
Am,1
And,5
Arrrggghhh,1
BANG,1
BE,1
But,1
C,2
Can,1
Castle,1
Cause,1
Clothes,1
Damn,1
Dave,1
Dear,1
Do,1
Dr,2
Dre,2
Dude,1
English,1
Extraterrestrial,1
FRIENDS,1
Faster,1
Flashed,1
Fuck,1
Get,1
Girl,1
Go,1
God,1
Got,1
Hi,9
High,1
How,1
Huh,2
Hulk,1
I,37
In,1
Inch,1
Incredible,1
JUST,1
Junior,1
Kris,1
Kross,1
LET,1
Lee,1
Make,1
Man,1
My,26
Nails,1
Nine,1
Ninety-nine,1
OPERATE,1
Oh,1
Owwwwwwww,1
Pamela,1
S,1
Shady,10
Slim,9
So,2
Spice,1
Stop,1
Tell,1
Thanks,1
This,2
Try,1
Uh-huh,1
Uh-uhhh,1
Ummmm,1
Usher,1
Wah,1
Wahhh,1
Walked,1
Wanna,2
Well,1
When,1
White,1
Whoops,1
With,1
Yeah,3
You,2
a,15
about,1
after,1
age,1
ahead,1
ain,2
alive,1
an,1
and,9
anything,1
are,1
asked,1
ass,1
at,2
attention,1
autograph,2
awake,1
away,1
backwards,1
barely,1
bartender,1
basehead,1
be,4
bed,1
belt,1
bitch,1
blew,1
brain,1
breast,1
bulletproof,1
bunk,1
buried,1
by,1
can,3
carried,1
cemetery,1
chased,1
cid,1
class,1
clothes,1
club,1
coming,1
copy,1
cup,1
d,1
dad,1
dare,1
dead,1
decide,1
deprived,1
dick,1
did,1
die,1
do,2
does,1
dog,1
doing,1
don,2
dope,1
down,1
drank,1
dream,1
drive,1
drugs,1
each,1
else,1
eraser,1
exactly,1
excuse,1
eyelids,1
face,2
fall,1
famous,1
fans,1
fast,1
fat,2
feed,1
felt,1
fifth,1
figure,1
fits,1
flunk,1
for,3
found,1
from,1
fuck,2
fucked,1
get,4
girl,1
give,1
going,1
gonna,1
got,1
grass,1
grow,1
guy,1
hachhh-too,1
had,3
hairy,1
hands,1
hard,1
have,2
head,2
her,5
hide,1
him,4
his,3
huh,4
hung,1
hungry,1
impregnate,1
in,8
inside,1
is,25
it,3
jacket,1
just,3
kid,1
kids,1
knocked,1
know,1
lay,1
leave,1
lied,1
life,3
like,6
little,1
ll,3
locked,1
lot,1
m,4
mad,1
me,8
mere,2
minute,1
mom,2
more,1
my,14
myself,2
name,25
needs,1
next,1
no,1
not,1
nuts,1
of,6
off,3
on,2
one,2
or,1
original,1
out,2
over,1
palms,1
papers,1
pedestrians,1
percent,1
piss,1
pissed,1
pound,1
rapper,1
ready,1
record,1
red,1
ripped,2
runnin,1
rush,1
s,5
said,1
sat,1
scary,1
screaming,2
second,1
see,2
self,1
semester,1
sent,1
ship,1
shoot,1
signed,1
since,1
slit,1
slut,1
smacked,2
smoke,1
so,2
some,1
someone,1
space,1
spit,1
stack,1
stand,1
stands,1
stapled,1
stapler,1
steaming,1
stick,1
straight,1
strap,1
strip,1
stuck,1
support,1
t,5
talk,1
tape,1
teacher,1
than,2
thank,1
thanks,1
that,5
the,14
then,1
there,1
they,1
thirty-five,1
this,1
throat,1
through,1
throw,1
tip,1
tits,2
to,15
told,1
too,3
top,1
touch,1
try,1
trying,1
twelve,1
up,4
used,1
ve,1
very,1
vest,1
violence,1
vodka,1
wait,1
walks,1
want,1
wanted,1
was,3
wasted,1
way,1
weight,1
what,8
when,3
which,1
while,1
who,5
why,1
with,3
woman,1
women,1
world,1
worse,1
would,1
yeah,3
years,1
you,7
your,4
yup,1
zipped,1
